,text,Label
0,alicewasbeginningtogetverytiredofsittingbyhersisteronthebankandofhavingnothingtodoonceortwiceshehadpeepedintothebookhersisterwasreadingb,1
1,utithadnopicturesorconversationsinitandwhatistheuseofabookthoughtalicewithoutpicturesorconversationssoshewasconsideringinherownmindaswel,1
2,lasshecouldforthehotdaymadeherfeelverysleepyandstupidwhetherthepleasureofmakingadaisychainwouldbeworththetroubleofgettingupandpickingthe,1
3,daisieswhensuddenlyawhiterabbitwithpinkeyesranclosebyhertherewasnothingsoveryremarkableinthatnordidalicethinkitsoverymuchoutofthewaytohe,1
4,artherabbitsaytoitselfohdearohdearishallbelatewhenshethoughtitoverafterwardsitoccurredtoherthatsheoughttohavewonderedatthisbutatthetimei,1
5,tallseemedquitenaturalbutwhentherabbitactuallytookawatchoutofitswaistcoatpocketandlookedatitandthenhurriedonalicestartedtoherfeetforitfl,1
6,ashedacrosshermindthatshehadneverbeforeseenarabbitwitheitherawaistcoatpocketorawatchtotakeoutofitandburningwithcuriositysheranacrossthef,1
7,ieldafteritandfortunatelywasjustintimetoseeitpopdownalargerabbitholeunderthehedgeinanothermomentdownwentaliceafteritneveronceconsidering,1
8,howintheworldshewastogetoutagaintherabbitholewentstraightonlikeatunnelforsomewayandthendippedsuddenlydownsosuddenlythatalicehadnotamomen,1
9,ttothinkaboutstoppingherselfbeforeshefoundherselffallingdownaverydeepwelleitherthewellwasverydeeporshefellveryslowlyforshehadplentyoftim,1
10,easshewentdowntolookaboutherandtowonderwhatwasgoingtohappennextfirstshetriedtolookdownandmakeoutwhatshewascomingtobutitwastoodarktoseean,1
11,ythingthenshelookedatthesidesofthewellandnoticedthattheywerefilledwithcupboardsandbookshelveshereandthereshesawmapsandpictureshunguponpe,1
12,gsshetookdownajarfromoneoftheshelvesasshepasseditwaslabelledorangemarmaladebuttohergreatdisappointmentitwasemptyshedidnotliketodroptheja,1
13,rforfearofkillingsomebodysomanagedtoputitintooneofthecupboardsasshefellpastitwellthoughtalicetoherselfaftersuchafallasthisishallthinknot,1
14,hingoftumblingdownstairshowbravetheyllallthinkmeathomewhyiwouldntsayanythingaboutitevenififelloffthetopofthehousewhichwasverylikelytrued,1
15,owndowndownwouldthefallnevercometoanendiwonderhowmanymilesivefallenbythistimeshesaidaloudimustbegettingsomewherenearthecentreoftheearthl,1
16,etmeseethatwouldbefourthousandmilesdownithinkforyouseealicehadlearntseveralthingsofthissortinherlessonsintheschoolroomandthoughthiswasno,1
17,taverygoodopportunityforshowingoffherknowledgeastherewasnoonetolistentoherstillitwasgoodpracticetosayitoveryesthatsabouttherightdistance,1
18,buttheniwonderwhatlatitudeorlongitudeivegottoalicehadnoideawhatlatitudewasorlongitudeeitherbutthoughttheywerenicegrandwordstosaypresentl,1
19,yshebeganagainiwonderifishallfallrightthroughtheearthhowfunnyitllseemtocomeoutamongthepeoplethatwalkwiththeirheadsdownwardtheantipathies,1
20,ithinkshewasrathergladtherewasnoonelisteningthistimeasitdidntsoundatalltherightwordbutishallhavetoaskthemwhatthenameofthecountryisyoukno,1
21,wpleasemaamisthisnewzealandoraustraliaandshetriedtocurtseyasshespokefancycurtseyingasyourefallingthroughtheairdoyouthinkyoucouldmanageit,1
22,andwhatanignorantlittlegirlshellthinkmeforaskingnoitllneverdotoaskperhapsishallseeitwrittenupsomewheredowndowndowntherewasnothingelsetod,1
23,osoalicesoonbegantalkingagaindinahllmissmeverymuchtonightishouldthinkdinahwasthecatihopetheyllrememberhersaucerofmilkatteatimedinahmydea,1
24,riwishyouweredownherewithmetherearenomiceintheairimafraidbutyoumightcatchabatandthatsverylikeamouseyouknowbutdocatseatbatsiwonderandhere,1
25,alicebegantogetrathersleepyandwentonsayingtoherselfinadreamysortofwaydocatseatbatsdocatseatbatsandsometimesdobatseatcatsforyouseeassheco,1
26,uldntanswereitherquestionitdidntmuchmatterwhichwaysheputitshefeltthatshewasdozingoffandhadjustbeguntodreamthatshewaswalkinghandinhandwit,1
27,hdinahandsayingtoherveryearnestlynowdinahtellmethetruthdidyouevereatabatwhensuddenlythumpthumpdownshecameuponaheapofsticksanddryleavesan,1
28,dthefallwasoveralicewasnotabithurtandshejumpedupontoherfeetinamomentshelookedupbutitwasalldarkoverheadbeforeherwasanotherlongpassageandt,1
29,hewhiterabbitwasstillinsighthurryingdownittherewasnotamomenttobelostawaywentalicelikethewindandwasjustintimetohearitsayasitturnedacorner,1
30,ohmyearsandwhiskershowlateitsgettingshewasclosebehinditwhensheturnedthecornerbuttherabbitwasnolongertobeseenshefoundherselfinalonglowhal,1
31,lwhichwaslitupbyarowoflampshangingfromtheroofthereweredoorsallroundthehallbuttheywerealllockedandwhenalicehadbeenallthewaydownonesideand,1
32,uptheothertryingeverydoorshewalkedsadlydownthemiddlewonderinghowshewasevertogetoutagainsuddenlyshecameuponalittlethreeleggedtableallmade,1
33,ofsolidglasstherewasnothingonitexceptatinygoldenkeyandalicesfirstthoughtwasthatitmightbelongtooneofthedoorsofthehallbutalaseitherthelock,1
34,sweretoolargeorthekeywastoosmallbutatanyrateitwouldnotopenanyofthemhoweveronthesecondtimeroundshecameuponalowcurtainshehadnotnoticedbefo,1
35,reandbehinditwasalittledooraboutfifteenincheshighshetriedthelittlegoldenkeyinthelockandtohergreatdelightitfittedaliceopenedthedoorandfou,1
36,ndthatitledintoasmallpassagenotmuchlargerthanaratholeshekneltdownandlookedalongthepassageintotheloveliestgardenyoueversawhowshelongedtog,1
37,etoutofthatdarkhallandwanderaboutamongthosebedsofbrightflowersandthosecoolfountainsbutshecouldnotevengetherheadthroughthedoorwayandeveni,1
38,fmyheadwouldgothroughthoughtpooraliceitwouldbeofverylittleusewithoutmyshouldersohhowiwishicouldshutuplikeatelescopeithinkicouldifionlykn,1
